codelist_code,term_code,CodedData,term_value,collected_value,term_preferred_term,term_synonyms,raw_codelist
C71113,C25473,QD,QD,QD (Every Day),Daily,/day; Daily; Per Day,FREQ_CV1
C71113,C64496,BID,BID,BID (Twice a Day),Twice Daily,BD; Twice per day,FREQ_CV1
C71113,C64499,PRN,PRN,PRN (As Needed),As Needed,As needed,FREQ_CV1
C71113,C64516,Q2H,Q2H,Q2H (Every 2 Hours),Every Two Hours,Every 2 hours,FREQ_CV1
C71113,C64530,QID,QID,QID (4 Times a Day),Four Times Daily,4 times per day,FREQ_CV1
C66726,C25158,CAPSULE,CAPSULE,Capsule,Capsule Dosage Form,cap,FRM_CV1
C66726,C25394,PILL,PILL,Pill,Pill Dosage Form,NA,FRM_CV1
C66726,C29167,LOTION,LOTION,Lotion,Lotion Dosage Form,NA,FRM_CV1
C66726,C42887,AEROSOL,AEROSOL,Aerosol,Aerosol Dosage Form,aer,FRM_CV1
C66726,C42944,INHALANT,INHALANT,Inhalant,Inhalant Dosage Form,NA,FRM_CV1
C66726,C42946,INJECTION,INJECTION,Injection,Injectable Dosage Form,NA,FRM_CV1
C66726,C42953,LIQUID,LIQUID,Liquid,Liquid Dosage Form,NA,FRM_CV1
C66726,C42998,TABLET,TABLET,Tablet,Tablet Dosage Form,tab,FRM_CV1
C66742,C49488,Y,Y,Yes,Yes,Yes,NY_CV1
C66729,C28161,INTRAMUSCULAR,INTRAMUSCULAR,IM (Intramuscular),Intramuscular Route of Administration,NA,ROUTE_CV1
C66729,C38210,EPIDURAL,EPIDURAL,EP (Epidural),Epidural Route of Administration,NA,ROUTE_CV1
C66729,C38222,INTRA-ARTERIAL,INTRA-ARTERIAL,IA (Intra-arterial),Intraarterial Route of Administration,NA,ROUTE_CV1
C66729,C38223,INTRA-ARTICULAR,INTRA-ARTICULAR,IJ (Intra-articular),Intraarticular Route of Administration,NA,ROUTE_CV1
C66729,C38287,OPHTHALMIC,OPHTHALMIC,OP (Ophthalmic),Ophthalmic Route of Administration,NA,ROUTE_CV1
C66729,C38288,ORAL,ORAL,PO (Oral),Oral Route of Administration,Intraoral Route of Administration; PO,ROUTE_CV1
C66729,C38305,TRANSDERMAL,TRANSDERMAL,DE (Transdermal),Transdermal Route of Administration,NA,ROUTE_CV1
C66729,C38311,UNKNOWN,UNKNOWN,Unknown,Unknown Route of Administration,NA,ROUTE_CV1
C71620,C25613,%,%,%,Percentage,Percentage,UNIT_CV1
C71620,C28253,MG,mg,mg,Milligram,Milligram,UNIT_CV1
C71620,C28254,ML,mL,mL,Milliliter,cm3; Milliliter,UNIT_CV1
C71620,C48155,G,g,g,Gram,Gram,UNIT_CV1
C71620,C48480,CAPSULE,CAPSULE,Capsule,Capsule Dosing Unit,cap; Capsule Dosing Unit,UNIT_CV1
C71620,C48542,TABLET,TABLET,Tablet,Tablet Dosing Unit,tab; Tablet Dosing Unit,UNIT_CV1
C71620,C48579,IU,IU,IU,International Unit,IE; International Unit,UNIT_CV1
C71620,C28254,ML,mL,mL,Milliliter,cm3; Milliliter,UNIT_CV5
C66728,C25629,BEFORE,BEFORE,Prior,Prior,,NA
C66728,C53279,ONGOING,ONGOING,Continue,Continue,Continuous,NA
C66734,C49568,CM,CM,Concomitant Medication Domain,Concomitant Medication Domain,Concomitant/Prior Medications,NA
